ticker,name,market,locale,active,source_feed
I:A1BSC,Dow Jones Americas Basic Materials Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1CYC,Dow Jones Americas Consumer Services Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1DOW,Dow Jones Americas Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1ENE,Dow Jones Americas Oil & Gas Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1FIN,Dow Jones Americas Financials Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1HCR,Dow Jones Americas Health Care Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1IDU,Dow Jones Americas Industrials Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1NCY,Dow Jones Americas Consumer Goods Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1SGI,Dow Jones Sustainability North America Composite Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:A1TEC,Dow Jones Americas Technology Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1TLS,Dow Jones Americas Telecommunications Index,indices,us,True,CMEMarketDataPlatformDowJones
I:A1UTI,Dow Jones Americas Utilities Index,indices,us,True,CMEMarketDataPlatformDowJones
I:AAVE100,Cboe 100 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:AAVE10RP,Cboe 10 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:AAVE25RP,Cboe 25 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:AAVE400,Cboe 400 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:AAVE50RP,Cboe 50 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ABAQ,ABA NASDAQ Community Bank,indices,us,True,NasdaqGIDS
I:ABQI,NASDAQ OMX ABA Community Bank,indices,us,True,NasdaqGIDS
I:ABQX,NASDAQ OMX ABA Community Bank Total Rtn,indices,us,True,NasdaqGIDS
I:ADA100K,Cboe 100K Cardano / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ADA10KRP,Cboe 10K Cardano / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ADA25KRP,Cboe 25K Cardano / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ADA50KRP,Cboe 50K Cardano / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ADA5KRP,Cboe 5000 Cardano / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
